,1,3,5,7,9
2021-06-10T05:55:08+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:55:10+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:55:13+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:55:16+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:55:20+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:55:22+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:55:25+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:55:28+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:55:31+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:55:34+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:55:37+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:55:40+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:55:43+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:55:46+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:55:50+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:55:52+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:55:55+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:55:59+00:00,-0.24,19.87,50.00,21.50,21.01
